Artista,Musica,Tempo,Data
Putodiparis,Lacroc,36048,2021-05-09 10:40
VND,Bandido Chique,0,2021-05-09 10:40
LEALL,Pedras Amarelas,0,2021-05-09 10:40
SD9,Nigéria 96,0,2021-05-09 10:40
Fleezus,Revolta,0,2021-05-09 10:40
Fleezus,City Runners (feat. Kyan),0,2021-05-09 10:40
Febem,OG,0,2021-05-09 10:40
Kyan,Menor Magrinho,0,2021-05-09 10:40
VND,Mano Você É Playboy,0,2021-05-09 10:40
Derxan,Didier Droga & Ba,0,2021-05-09 10:40
Jean Tassy,Hoje à Noite,0,2021-05-09 10:40
Febem,TRACKSUIT,194818,2021-05-09 10:44
LEALL,Pedras Amarelas,137865,2021-05-09 10:46
Fleezus,City Runners (feat. Kyan),166474,2021-05-09 10:49
Derxan,Didier Droga & Ba,159464,2021-05-09 10:51
Dropallien,Alotrópico,109834,2021-05-09 10:53
Febem,TRACKSUIT,1412,2021-05-09 15:38
Febem,TRACKSUIT,159470,2021-05-09 15:41
Dj Guuga,"Volta Bebê, Volta Neném",172972,2021-05-09 15:44
Matheus Fernandes,Baby Me Atende,225671,2021-05-09 15:48
Xand Avião,Não Pode Se Apaixonar,170000,2021-05-09 15:50
Zé Vaqueiro,Volta Comigo BB,10077,2021-05-09 15:51
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,147875,2021-05-09 15:53
Vitor Fernandes,Acaso,200890,2021-05-09 15:56
Th CDM,Preta do Cabelo Cacheado,118353,2021-05-09 15:58
Nadson O Ferinha,Na Ponta do Pé - Brega Funk,29353,2021-05-09 15:59
Xand Avião,Ela Aperta a Minha Mente,155014,2021-05-09 16:02
Malibu,Onde Você Mora,253354,2021-05-09 16:06
Papatinho,Final de Semana,201682,2021-05-09 16:10
Malibu,Cigana,265753,2021-05-09 16:14
Luísa Sonza,Cansar Você,176298,2021-05-09 16:17
ANAVITÓRIA,"Amarelo, azul e branco",201452,2021-05-09 16:21
Carol Biazin,Rolê,25833,2021-05-09 16:21
Stefan,Cinco Minutos,565785,2021-05-09 16:30
LUDMILLA,Gato Siamês,195428,2021-05-09 16:34
L7NNON,DA BOCA,23536,2021-05-09 16:37
Stefan,MASHUP 'OS MENINU' II: Direito De Te Amar / Meiga E Abusada / Solução / Para / Ela Vem,193674,2021-05-09 16:37
Stefan,Cinco Minutos,10536,2021-05-09 16:38
Lexa,Quase Lá (feat. Sorriso Maroto),160661,2021-05-09 16:41
Malía,FLOW,49980,2021-05-09 16:42
Mc Livinho,Pilantragem,212625,2021-05-09 16:46
A Banca Records,Outro Dia,232524,2021-05-09 16:50
Kawe,Mds,125142,2021-05-09 16:52
Mc Livinho,Você É Gostosa,84108,2021-05-09 16:53
Mc Livinho,Pressentimento,230295,2021-05-09 16:57
Gaab,Tem Café,262687,2021-05-09 17:02
Mc Livinho,Irmã Gostosa,17106,2021-05-09 17:03
DENNIS,Deixa de Onda (Porra Nenhuma),184999,2021-05-09 17:06
LUDMILLA,Rainha da Favela,160904,2021-05-09 17:08
Pineapple StormTv,Poesia Acústica 10: Recomeçar,1099,2021-05-09 17:09
Israel & Rodolffo,Batom de Cereja - Ao Vivo,140942,2021-05-09 17:27
Dj Guuga,"Volta Bebê, Volta Neném",172972,2021-05-09 17:30
Alok,Liberdade (Quando o Grave Bate Forte),11891,2021-05-09 17:32
Malu,Disco Arranhado - Funk Remix,2807,2021-05-09 17:32
Mc Davi,Bipolar,92880,2021-05-09 17:32
MC Kevin o Chris,Tipo Gin - Ao Vivo,159146,2021-05-09 17:35
Raí Saia Rodada,Tapão Na Raba,175046,2021-05-09 17:38
Jorge & Mateus,Paradigmas,157354,2021-05-09 17:40
Os Barões Da Pisadinha,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,147875,2021-05-09 17:43
Diego & Victor Hugo,Facas - Ao Vivo,115439,2021-05-09 17:45
Fernando & Sorocaba,Só Não Divulga,12317,2021-05-09 17:45
Wesley Safadão,"Ele É Ele, Eu Sou Eu",155209,2021-05-09 17:47
Mc Poze do Rodo,Vida Louca,155675,2021-05-09 17:50
Xand Avião,Não Pode Se Apaixonar,21197,2021-05-09 17:50
Raí Saia Rodada,Tapão Na Raba,10993,2021-05-09 17:52
Niack,Oh Juliana,153077,2021-05-09 17:55
MC Ryan SP,Revoada do Tubarão,2849,2021-05-09 17:56
MC Paulin da Capital,Os Mandrake Curte a Vida,3039,2021-05-09 17:56
MC Hariel,Avisa que é o Funk,4654,2021-05-09 17:56
Mc Talibã,Um Sabadão Desse Uma Lua Dessa,52747,2021-05-09 17:56
Sr. Nescau,"Beat Imatur0 - Eu gosto de você, tchau (Funk Remix)",4357,2021-05-09 17:56
Tília,Aquecimento da Tília,1899,2021-05-09 17:56
MC Marks,Deus é por nós,2945,2021-05-09 17:56
Luísa Sonza,BRABA,129782,2021-05-09 17:58
Mc Zaac,Desce Pro Play (PA PA PA),168507,2021-05-09 18:01
Niack,Na Raba Toma Tapão,164697,2021-05-09 18:16
509-E,Oitavo Anjo,17148,2021-05-09 18:16
MV Bill,Soldado do Morro,4352,2021-05-09 18:16
Dexter,Eu Sô Função,2295,2021-05-09 18:16
Mc Marechal,Primeiro de Abril,249289,2021-05-09 18:20
ADL,Favela Vive 2,9895,2021-05-09 18:20
BK,Top Boys,193834,2021-05-09 18:24
Racionais MC's,"Vida Loka, Pt. 1",2474,2021-05-09 18:24
Djonga,ETERNO,16681,2021-05-09 18:24
Planet Hemp,Mantenha o Respeito,1611,2021-05-09 18:27
Pentagono,É o Moio,173584,2021-05-09 18:27
Rappin' Hood,Rap du Bom Parte II - Mús. Incid.: Odara,19940,2021-05-09 18:27
Rashid,E Se,273320,2021-05-09 18:32
Sabotage,Canão Foi Tão Bom,47978,2021-05-09 18:33
Criolo,Subirusdoistiozin,213573,2021-05-09 18:36
Froid,Flow de Lázaro,157846,2021-05-09 18:39
Rincon Sapiência,Ponta de Lança (Verso Livre),4093,2021-05-09 18:45
MV Bill,L. Gelada - 3 da Madrugada,359053,2021-05-09 18:45
Don L,Beira de Piscina (Remix),45606,2021-05-09 18:46
Rodrigo Ogi,Profissão Perigo,168698,2021-05-09 18:48
Gabriel O Pensador,Linhas Tortas,37149,2021-05-09 18:49
Racionais MC's,Da Ponte pra Cá,2091,2021-05-09 18:49
BK,Castelos & Ruínas,249490,2021-05-09 18:53
509-E,Uh Barato É Louco,19900,2021-05-09 18:54
Djonga,Esquimó,4318,2021-05-09 20:36
509-E,Uh Barato É Louco,5820,2021-05-09 20:36
Marcelo D2,Desabafo / Deixa Eu Dizer,169570,2021-05-09 20:39
Kamau,Só,201280,2021-05-09 20:42
RZO,O Mensageiro,19286,2021-05-09 20:42
Pentagono,O Q?,1429,2021-05-09 20:42
Eloy Polemico,Ouro de Tolo,3109,2021-05-09 20:42
MV Bill,Estilo Vagabundo 3,1510,2021-05-09 20:42
Akira Presidente,Consequências,2863,2021-05-09 20:43
Família Madá,Cristal,2450,2021-05-09 20:44
Kayuá,Gigante da Norte,2518,2021-05-09 20:44
MOB79,Atleta do Ano - Remix,93678,2021-05-09 20:44
Murica,Coral e Cascavel,1758,2021-05-09 20:44
ABRONCA,Pras Bandidas,6058,2021-05-09 20:44
Emicida,Triunfo (A Rua É Nóiz),4098,2021-05-09 20:44
MV Bill,Estilo Vagabundo 1,848,2021-05-09 20:45
Rodrigo Ogi,Virou Canção,6339,2021-05-09 20:45
Don L,Eu Não Te Amo,172474,2021-05-09 20:47
Gabriel O Pensador,Cachimbo da Paz (feat. Lulu Santos),228484,2021-05-09 20:51
Rashid,Bilhete 2.0 (feat. Luccas Carlos),116215,2021-05-09 20:53
Wesley Safadão,"Ele É Ele, Eu Sou Eu",155209,2021-05-09 21:41
Mc Poze do Rodo,Vida Louca,155675,2021-05-09 21:43
Xand Avião,Não Pode Se Apaixonar,170000,2021-05-09 21:46
Israel & Rodolffo,Só de Sacanagem - Ao Vivo,183695,2021-05-09 21:49
Th CDM,Preta do Cabelo Cacheado,158531,2021-05-09 21:52
DJ Ivis,Esquema Preferido (feat. Tarcísio do Acordeon),150001,2021-05-09 21:54
Outkast,Ms. Jackson,270506,2021-05-10 20:32
Outkast,Roses,24334,2021-05-10 20:33
The Notorious B.I.G.,Hypnotize - 2014 Remaster,195727,2021-05-10 20:36
Ice Cube,It Was A Good Day,9073,2021-05-10 20:36
Joey Bada$$,Shine,2961,2021-05-10 20:41
Snoop Dogg,Drop It Like It's Hot,266066,2021-05-10 20:41
Dr. Dre,Forgot About Dre,1754,2021-05-10 20:41
Outkast,SpottieOttieDopaliscious,8543,2021-05-10 20:41
Fat Joe,Sunshine (The Light),2840,2021-05-10 20:41
Thundercat,Them Changes,2504,2021-05-10 20:42
Outkast,Ms. Jackson,3359,2021-05-10 20:42
Snoop Dogg,Gin N Juice (feat. Dat Nigga Daz),6638,2021-05-10 20:42
G-Unit,Smile,7463,2021-05-10 20:42
Joey Bada$$,Love Is Only a Feeling,4925,2021-05-10 20:42
Outkast,"So Fresh, So Clean",2310,2021-05-10 20:42
Nas,N.Y. State of Mind,6987,2021-05-10 20:42
Snoop Dogg,420 (Blaze Up),3899,2021-05-10 20:43
Outkast,Ms. Jackson,21865,2021-05-10 20:43
Nas,Nas Is Like,4392,2021-05-10 20:43
Outkast,The Way You Move (feat. Sleepy Brown),4762,2021-05-10 20:43
The Notorious B.I.G.,Juicy - 2005 Remaster,18048,2021-05-10 20:43
Devin The Dude,Doobie Ashtray,2564,2021-05-10 20:44
JAY-Z,99 Problems,6827,2021-05-10 20:44
Dr. Dre,Still D.R.E.,1355,2021-05-10 20:44
Outkast,B.O.B. - Bombs Over Baghdad,6170,2021-05-10 20:44
Outkast,Hey Ya!,5210,2021-05-10 20:44
Big L,Put It On,11139,2021-05-10 20:44
N.E.R.D,Rockstar,5989,2021-05-10 20:44
ODB,Shimmy Shimmy Ya,3578,2021-05-10 20:44
JAY-Z,Big Pimpin',2093,2021-05-10 20:44
Snoop Dogg,Signs,2806,2021-05-10 20:44
Wu-Tang Clan,Cream,4421,2021-05-10 20:44
Dr. Dre,What's The Difference,22362,2021-05-10 20:45
Outkast,ATLiens,3696,2021-05-10 20:45
JAY-Z,Otis,16510,2021-05-10 20:45
Jurassic 5,What's Golden,7786,2021-05-10 20:45
ScHoolboy Q,Collard Greens,6570,2021-05-10 20:46
The Notorious B.I.G.,Suicidal Thoughts - 2005 Remaster,14895,2021-05-10 20:46
Outkast,Crumblin' Erb,28777,2021-05-10 20:48
Warren G,Party We Will Throw Now!,2975,2021-05-10 20:48
Dr. Dre,Xxplosive,121111,2021-05-10 20:48
JAY-Z,No Church In The Wild,32161,2021-05-10 20:49
Jorge & Mateus,Paradigmas,157354,2021-05-10 23:57
Os Barões Da Pisadinha,Boleto da Casa (Ao Vivo),137382,2021-05-10 23:59
Zé Vaqueiro,Volta Comigo BB,210731,2021-05-11 00:03
Jonas Esticado,Isca,162967,2021-05-11 00:05
Israel & Rodolffo,Só de Sacanagem - Ao Vivo,183695,2021-05-11 00:09
Diego & Arnaldo,Falei pra Tu,192065,2021-05-11 00:12
Wesley Safadão,Confidencial,171379,2021-05-11 00:15
Dj Guuga,"Volta Bebê, Volta Neném",172972,2021-05-11 00:17
Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),237900,2021-05-11 00:21
DJ Ivis,Deixa Eu Ser o Teu Amor,179799,2021-05-11 00:24
Jorge & Mateus,Namorando Com Saudade,174081,2021-05-11 00:27
Xand Avião,Algo Mais (Amante) - Ao Vivo,231680,2021-05-11 00:31
Os Barões Da Pisadinha,Fala Comigo Bebê - Ao Vivo,150933,2021-05-11 00:34
Matheus Fernandes,Baby Me Atende,225671,2021-05-11 00:37
