Canal,Nome vídeo,Data
adsense,Watched VALE | Juntos contra a fome,2021-07-08 02:07:03.144
adsense,"Watched Cartão de crédito, função débito e conta. Tudo pelo app.",2021-07-07 21:40:14.303
Fala Bandana,Watched Live de Terça - Recuperação e Copas,2021-07-07 15:21:55.273
Programação Dinâmica,Watched Gráficos em Python? | Análise de dados #7,2021-07-06 23:33:13.958
Programação Dinâmica,Watched Analisando os DADOS do questionário SOCIOECONÔMICO do ENEM por ESTADO | Análise de dados #6,2021-07-06 23:18:17.041
Programação Dinâmica,Watched VOCÊ SABE EXTRAIR INFORMAÇÕES DE DADOS? | Análise de Dados #1,2021-07-06 23:18:03.188
Curso em Vídeo,Watched Exercício Python #023 - Separando dígitos de um número,2021-07-06 19:37:04.216
adsense,Watched https://www.youtube.com/watch?v=tvXuhLUjxSM,2021-07-06 15:33:27.535
Video Tutoriales Android,Watched Fork el nuevo SourceTree para Mac,2021-07-05 23:56:03.428
RABISCO,Watched COMO EU LEMBRO QUE FOI STAR WARS,2021-07-05 23:53:30.129
Programação Dinâmica,Watched Manipulando Dataframe do Pandas | Análise de dados #5,2021-07-05 23:20:15.138
Augusto Dias,Watched Como recuperar partição HD perdida ou que desapareceu | TUTORIAL,2021-07-05 19:50:52.883
Wendson Alves dos Santos,"Watched Saiba como recuperar sua partição, disco D, que sumiu, windows",2021-07-05 19:48:57.457
Olha que Fácil Tutoriais,Watched RESOLVIDO - PARTIÇÃO DE DADOS SUMIU APOS FORMATAR E INSTALAR WINDOWS - Olha que Fácil Tutoriais,2021-07-05 19:45:40.753
adsense,Watched https://www.youtube.com/watch?v=tvXuhLUjxSM,2021-07-05 15:41:45.678
Inova BI,Watched [Tableau] Histórias e Campo Calculado no Tableau,2021-07-05 14:44:36.800
Roberto Walter,Watched Aula 13 - Criando seu primeiro Dashboard! - Curso Tableau para Iniciantes (COM CERTIFICADO),2021-07-05 14:26:07.109
Meteoro Brasil,Watched LUIZ DOMINGUETTI NA CPI: UM RESUMO,2021-07-04 00:43:48.419
Caue Moura,Watched IRMÃO OU PEGUETE? 🤔 - SABADO ABRE O COOL,2021-07-04 00:42:11.725
Caue Moura,Watched CAVALO DE TRÓIA NA CPI??? 🐴,2021-07-04 00:30:22.787
adsense,Watched Nova Coca-Cola Sem Açúcar,2021-07-04 00:24:26.890
Camisa 21,"Watched QUEM TÁ JOGANDO PIOR: SÃO PAULO, GRÊMIO OU CORINTHIANS?",2021-07-03 15:16:58.563
Desimpedidos,Watched Como é ir pra um estádio na gringa?,2021-07-02 15:55:23.996
Meteoro Brasil,Watched LÁZARO BARBOSA ENTRE A FICÇÃO E REALIDADE,2021-07-02 15:48:46.454
Manual do Mundo,Watched COBERTOR de ALUMÍNIO ESQUENTA? Nós testamos #Shorts,2021-07-02 15:47:04.527
Camisa 21,Watched “OS GALÁCTICOS ACERTAVAM O TIME NA NIGHT” - ROBERTO CARLOS NO BTS,2021-07-01 15:52:26.832
adsense,Watched A HBO Max chegou | Assine já,2021-07-01 00:27:54.282
adsense,Watched O iFood tem tudo de bom pra você pedir,2021-07-01 00:18:05.134
adsense,Watched Premiere agora no Prime Video! | Amazon Prime Video,2021-06-30 23:52:07.662
QUERO TREINAR,Watched INFERIOR DE PEITO C/ HALTERES,2021-06-30 20:36:26.354
Einzelgänger,Watched How to Stop Taking Things So Personally,2021-06-30 19:19:35.273
Thiago Ventura,Watched THIAGO VENTURA - CACHORRO - STAND UP COMEDY,2021-06-30 15:59:14.810
Caue Moura,Watched PEGARAM O LÁZARO 💀,2021-06-30 15:49:50.339
Tableau Software,Watched How to create a Dual Axis & Stacked Grouped Bar Charts in Tableau,2021-06-30 14:58:18.791
Tableau Software,Watched How to Create a Stacked Bar Chart Using Multiple Measures in Tableau,2021-06-30 14:46:18.010
Camisa 21,Watched MBAPPÉ NO PALMEIRAS? CURSO DE PÊNALTIS COM TIA LEILA!,2021-06-29 15:58:25.581
Camisa 21,Watched O CUCA É CRINGE? ESPECIALISTAS RESPONDEM,2021-06-28 15:47:55.280
adsense,Watched Conheça os fatos sobre as vacinas contra a covid-19,2021-06-27 18:11:03.155
NPR Music,Watched Alicia Keys: NPR Music Tiny Desk Concert,2021-06-27 18:04:40.252
NPR Music,Watched Jorja Smith: NPR Music Tiny Desk Concert,2021-06-27 17:36:22.800
Fkj,Watched Fkj & Masego - Tadow,2021-06-27 17:28:10.473
Tai Verdes,Watched Tai Verdes - Stuck In The Middle (Official Video),2021-06-27 17:24:03.930
Tai Verdes,Watched Tai Verdes - DRUGS [Official Lyric Video],2021-06-27 17:21:18.721
Tai Verdes,Watched Tai Verdes - FEELING THIS BAD NEVER FELT SO GREAT (Lyric Visualizer),2021-06-27 17:21:07.481
Música Multishow,Watched IZA fala sobre GUETO e canta RIHANNA e BEYONCÉ | TVZ | Música Multishow,2021-06-27 17:08:31.053
Jimmy Kimmel Live,Watched Omar Sy on Lupin’s Popularity in America & Learning English from the Kardashians,2021-06-27 17:05:05.019
Criolo,Watched Criolo - Fellini,2021-06-27 17:02:09.885
Coisa de Nerd,Watched WINDOWS 11 VAZOU!,2021-06-27 16:58:15.905
Gloria Groove,Watched GLORIA GROOVE - BONEKINHA (CLIPE OFICIAL),2021-06-27 16:54:32.784
Meteoro Brasil,"Watched ACUADO POR CPI, BOLSONARO REAGE",2021-06-27 15:14:09.707
BSC Produções,Watched Analisando o Beijo de Túlio Maravilha,2021-06-27 01:26:49.374
Felipe Jin,Watched REGINA ROUCA CANTANDO WHITE DRESS DA LANA DEL REY #SHORTS #MEMES,2021-06-26 22:11:22.686
Meteoro Brasil,Watched X9 DA VACINA SUPERFATURADA NA CPI: UM RESUMO,2021-06-26 16:15:23.027
Geoaplicada,Watched Inserindo shapefiles e salvando projeto - Curso de mapa de localização no QGIS - 02,2021-06-26 15:42:57.172
Geoaplicada,Watched Como baixar shapefiles no portal do IBGE - Curso de mapa de localização no QGIS - 01,2021-06-26 15:39:51.870
Emanuele Santos,Watched Mapas Geográficos no Tableau,2021-06-26 15:27:52.168
Renilton Oliveira,Watched Mapas no Tableau,2021-06-26 15:26:20.181
