Canal,Nome vídeo,Data
Porta dos Fundos,Watched TAMANHO É DOCUMENTO,2017-09-02 04:37:17.364
Coisa de Nerd,Watched VÍDEO TODOS OS DIAS EM SETEMBRO!,2017-09-02 04:35:44.874
Cadê a chave?,Watched FEIJOADA NA CASA DO AMIGO CHINÊS - Ep. 1049,2017-09-02 04:23:03.199
adsense,Watched https://www.youtube.com/watch?v=ybH6dV5wc2I,2017-09-02 04:17:57.666
Acabou de Acabar,Watched ATÔMICA (2017) | #Crítica | #Crítica | SEM SPOILER 😉,2017-09-02 04:05:02.463
privitalino,Watched BATTLEFIELD 1: SNIPER AGRESSIVA? 🤔 (PS4 PRO),2017-09-02 04:00:07.941
Lucio Big,Watched Eu uso R$ 12 mil por mês do dinheiro público para alugar este lindo imóvel,2017-09-02 03:49:17.456
Cid Cidoso,Watched AS CRIANÇAS PRECISAM SAIR DA INTERNET,2017-09-02 03:44:37.969
adsense,Watched https://www.youtube.com/watch?v=AtwQQznMVxE,2017-09-01 23:22:21.012
CAROL MOREIRA,Watched O dossiê de MINDINHO | GAME OF THRONES,2017-09-01 23:05:43.249
mikannn,Watched JON SNOW E OS AEGONS TARGARYENS DE WESTEROS | GAME OF THRONES,2017-09-01 22:54:51.767
O Expresso de Hogwarts,Watched O ÚNICO PERSONAGEM QUE J.K. ROWLING SE ARREPENDEU DE TER MATADO,2017-09-01 03:42:03.120
Pipocando,Watched 10 Personagens mais MISTERIOSOS do CINEMA! 😱  👀,2017-09-01 03:41:29.817
Trip TV,Watched O universo de Mariana Mello,2017-09-01 03:36:00.402
EuTestei,Watched White label? Será? Conheça o Quantum Sky e o Quantum V - EuTestei,2017-09-01 03:27:53.266
petyr_b,Watched Game of Thrones Episode 7x07 - behind the scenes - Dragonpit meeting,2017-09-01 03:27:47.515
Be!Tech,Watched IPHONE 8 - SAIBA TUDO! ELE vai MUDAR MUITO e SEU PREÇO TAMBÉM!,2017-09-01 02:56:42.622
adsense,Watched https://www.youtube.com/watch?v=18awwhWlYDE,2017-09-01 02:46:39.829
Rebosteio,Watched O Homem Spider Man #14,2017-09-01 02:43:31.051
Chico Rezende,Watched Como fugir dos spoilers de Game of Thrones! // CHico Rezende,2017-08-30 11:08:42.238
Acabou de Acabar,Watched DEATH NOTE FILME (Netflix) (2017) | #Crítica | SEM SPOILER 😉,2017-08-30 10:50:02.447
Mr Pokenzo,Watched Relógio Mais POTENTE que muito CELULAR (UNBOXING)SMARTWATCH,2017-08-30 01:50:35.396
Cadê a chave?,Watched ARQUEIROS DE CARTEIRINHA - Ep.1047,2017-08-30 01:42:49.035
privitalino,Watched UNCHARTED: THE LOST LEGACY #2 AO VIVO! 🗺️ (PS4 PRO),2017-08-29 23:42:32.260
adsense,Watched https://www.youtube.com/watch?v=jFZpIqn3N0g,2017-08-29 17:35:07.537
Desimpedidos,Watched SÉRIE BAMBI,2017-08-29 02:43:02.445
How It Should Have Ended,Watched How Harry Potter Should Have Ended,2017-08-28 19:58:43.228
privitalino,Watched BATTLEFIELD 1: A SNIPER DO DESERTO 🔫 (PS4 PRO),2017-08-28 02:14:49.526
Jonathan Micael,Watched VEEM PRA LIVE,2017-08-28 00:53:06.717
adsense,Watched a video that has been removed,2017-08-27 22:57:41.011
Canal Nostalgia,Watched iCARLY PRESA? O QUE ACONTECEU?,2017-08-27 22:40:40.101
Fala Bandana,Watched Brasileiro 2017 - Palmeiras 4 X 2 São Paulo,2017-08-27 22:23:25.263
Lucky Salamander,Watched Battlefield 4 - Parte 1: Crise na Ásia! [ Playthrough Dublado em Português do Brasil],2017-08-27 01:50:56.727
privitalino,Watched BATTLEFIELD 1: O DIA QUE JOGUEI COM O RENANKILLRJ 😱 (PS4 PRO),2017-08-27 01:42:33.070
privitalino,Watched OVERWATCH: JOGOS DE VERÃO ☀️ (PS4 PRO),2017-08-27 01:36:21.881
privitalino,Watched CALL OF DUTY: WWII AO VIVO 🔫 (PS4 PRO),2017-08-27 01:25:35.317
MeuPlayStation,Watched [CoD: WWII] Jogando o BETA e apresentando todas as novidades do game,2017-08-27 01:12:09.873
Gelli Clash,Watched TESTEI A NOVA CARTA MEGACAVALEIRO NO NOVO DESAFIO DO CLASH ROYALE,2017-08-27 01:08:52.817
EntrePlanos,Watched O Que Faz Uma Continuação Ser Boa?,2017-08-27 01:01:26.750
adsense,Watched https://www.youtube.com/watch?v=qg-XmN0Uo08,2017-08-27 00:51:13.063
Desimpedidos,Watched VOCÊ CAIU NO DIBRE DO BERRIO - DESINFORMADOS  #190,2017-08-26 20:10:25.709
adsense,Watched a video that has been removed,2017-08-26 20:02:41.187
FredVasquezBR,Watched FIFA 18 - PSG VS JUVENTUS - GAMEPLAY OFICIAL EM HD!! 1080p,2017-08-26 19:50:12.874
CanalDosBoleiros,"Watched FIFA 18 - O POLÊMICO NOVO TRAILER!! ANÁLISE, NOVIDADES E GRÁFICOS!",2017-08-26 19:47:33.714
Chico Rezende,Watched A Terra é plana?!? // Chico Re-Pergunta,2017-08-26 19:37:50.717
Lakod,Watched FIFA 17 DICAS #3 - CATEGORIAS DE BASE,2017-08-26 04:09:48.755
jerryzin,Watched COMO CONTRATAR QUALQUER JOGADOR FIFA17,2017-08-26 03:54:36.006
adsense,Watched https://www.youtube.com/watch?v=46BT8ZUQ5f0,2017-08-25 23:12:15.145
Robpop,Watched Pato Fu - Amendoim,2017-08-25 23:05:45.742
Casa e Reforma,Watched Como instalar torneira eletrica sem o uso de extensão ou canaleta,2017-08-25 23:05:29.707
adsense,Watched https://www.youtube.com/watch?v=RwQg1hClcMQ,2017-08-25 22:47:11.610
FULERAGEM F.C,Watched COMO FAZER GOLS DE BICICLETA E VOLEIO NO FIFA 17,2017-08-25 22:46:37.164
adsense,Watched https://www.youtube.com/watch?v=AvDOsyehUmM,2017-08-25 22:29:37.895
mikannn,Watched O FIM DE GAME OF THRONES SERÁ DIFERENTE DOS LIVROS? | MIKAROL RESPONDE,2017-08-25 22:08:48.696
adsense,Watched https://www.youtube.com/watch?v=QOHP9vev0-w,2017-08-25 21:35:56.808
Cassol Centerlar,Watched Realiza Cassol - Como instalar uma torneira elétrica,2017-08-25 21:01:51.890
GameofThrones,Watched Game of Thrones: The Frozen Lake (HBO),2017-08-25 04:06:14.584
Cid Cidoso,Watched CAPELÃO: O PIOR (MELHOR) BAR DO MUNDO,2017-08-25 04:00:31.681
TV Quase,Watched FALHA DE COBERTURA #129: Perigos do Raciocínio de Berrío,2017-08-25 03:11:22.500
the FAT,Watched FIFA 17 | TUTORIAL BÁSICO DE DEFESA #2 | MELHOR FORMA DE ROUBAR A BOLA | CARRINHO OU BOTE RÁPIDO?,2017-08-24 21:11:31.814
Vagazoide,Watched VagaNights 3#: ENTREVISTA COM NINJA,2017-08-23 11:10:28.514
Acabou de Acabar,Watched OS DEFENSORES (Netflix) (2017) | #Crítica | SEM SPOILER 😉,2017-08-23 10:57:25.783
Fala Bandana,Watched Brasileiro 2017 - Avaí 1 X 1 São Paulo,2017-08-23 10:35:24.512
Geek Antenado,Watched Lenovo Zuk Z2 Pro || O melhor SMARTPHONE que comprei - Análise (Review),2017-08-20 17:01:06.873
Paulo Moreira,Watched Lançamento do Lenovo Zuk Edge em Português PT BR,2017-08-20 17:00:34.911
Meu-Smartphone,Watched SMARTPHONE COM DISPLAY SEM BORDAS MAIS ACESSÍVEL - DOOGEE MIX,2017-08-20 16:28:48.445
alanzoka,Watched The Wolf Among Us - O LOBO MAU! - Parte 1,2017-08-20 16:26:31.017
mikannn,Watched THE WOLF AMONG US | POR QUE JOGAR? (Telltale Games),2017-08-20 16:25:19.384
JON STARGARYEN,Watched Jon Snow Fight Scenes,2017-08-20 00:23:31.699
adsense,Watched https://www.youtube.com/watch?v=8ZeGNxcgK2k,2017-08-20 00:13:18.352
Coisa de Nerd,Watched O DJEIZU! - Coisa de Nerd Animado (Parte 14),2017-08-20 00:10:12.514
Olhe de novo,Watched Manchester à Beira Mar e o respeito à tristeza,2017-08-20 00:09:35.091
EntrePlanos,Watched Como Surgiu Aquele Som de Risadas Nas Séries de Comédia?,2017-08-19 23:18:21.264
adsense,Watched a video that has been removed,2017-08-19 22:01:49.371
THE GAMES PLAY,Watched PES 2017 - TUDO SOBRE FINALIZAÇÃO - DICAS E TUTORIAIS,2017-08-19 21:57:54.608
FUT_ROCK GAMES,Watched PES 2017 - COMO ATACAR E FAZER GOLS NO PES 2017,2017-08-19 21:51:28.460
mikannn,Watched 10 piores WTFs da 6ª temporada | GAME OF THRONES,2017-08-19 17:48:38.659
Arena Nerd,Watched Como o Corvo de Três Olhos Causou a Guerra dos Tronos | Teorias Game of Thrones | Bran | AS#19,2017-08-19 17:37:57.479
Desimpedidos,Watched O BARCELONA NÃO É MAIS AQUELE... - DESINFORMADOS #189,2017-08-19 17:20:05.246
Porta dos Fundos,Watched PARCERIA,2017-08-19 17:17:13.640
Acabou de Acabar,Watched ANNABELLE 2: A CRIAÇÃO DO MAL (2017) | #Crítica | SEM SPOILER 😉,2017-08-19 17:09:34.205
MixGolls,Watched carregador universal caseiro(choque na bateria),2017-08-19 14:53:11.061
GamesRadar,Watched Game of Thrones without the special effects,2017-08-19 14:36:28.555
OldBastard,"Watched Ep. 8 - How To LAYBACK AIR - Como que é, tio?",2017-08-19 14:17:00.875
Showlivre,"Watched ""Anormal"" - Pato Fu no Estúdio Showlivre 2007",2017-08-19 14:10:44.162
Everaldo Vilela,Watched Anormal - Pato Fu,2017-08-19 14:07:05.820
Ollervo100,Watched All scenes about Rhaegar and Lyanna in Game of Thrones S01-S06,2017-08-19 14:04:50.542
Universo Gelo e Fogo,Watched Game Of Thrones 7 Temporada - Daenerys será Rainha?,2017-08-19 13:48:54.173
adsense,Watched https://www.youtube.com/watch?v=LLDAkCtjIqM,2017-08-19 13:15:28.186
adsense,Watched https://www.youtube.com/watch?v=nIQ5WrGNsYs,2017-08-19 13:10:09.598
Daniels dos Tronos,Watched A HISTÓRIA DO REI DA NOITE E QUEM ELE É! - Histórias Game of Thrones Explicado,2017-08-19 13:00:48.829
adsense,Watched https://www.youtube.com/watch?v=5rULcgND2MA,2017-08-19 13:00:21.441
adsense,Watched https://www.youtube.com/watch?v=AzKs_BO_vqs,2017-08-19 12:51:25.825
Time Loops,Watched Game of Thrones Before and After They Were Famous,2017-08-19 12:44:26.285
Gustavo Cruz,Watched Como QUENTIN TARANTINO Faz Um Filme!,2017-08-19 12:41:01.161
adsense,Watched https://www.youtube.com/watch?v=vT35t7f-sfA,2017-08-19 12:32:59.766
TecMundo,"Watched Rumores sobre o Galaxy S9, contagem regressiva para o Android O e mais - Hoje no TecMundo",2017-08-19 12:32:40.812
adsense,Watched https://www.youtube.com/watch?v=vT35t7f-sfA,2017-08-19 02:50:16.172
TecMundo,"Watched Rumores sobre o Galaxy S9, contagem regressiva para o Android O e mais - Hoje no TecMundo",2017-08-19 02:12:55.842
mikannn,Watched JON SNOW É O HERDEIRO DO TRONO DE FERRO? | GAME OF THRONES,2017-08-19 02:12:51.328
311,Watched 311 - Hey You,2017-08-19 02:02:23.598
adsense,Watched https://www.youtube.com/watch?v=PfBcogrrHpM,2017-08-18 22:20:10.625
adsense,Watched https://www.youtube.com/watch?v=l2hezpolR1Q,2017-08-18 03:59:30.068
Classic Clicks,Watched Sophie Turner (Sansa Stark of Game of Thrones) Rare Photos | Family | Friends | Lifestyle.,2017-08-18 03:57:49.396
Classic Clicks,Watched Maisie Williams (Arya Stark of Game of Thrones) Rare Photos | Family | Friends | Lifestyle,2017-08-18 03:55:42.145
adsense,Watched a video that has been removed,2017-08-18 03:52:55.806
adsense,Watched https://www.youtube.com/watch?v=Z8URoeY3zwQ,2017-08-18 03:42:36.853
CAROL MOREIRA,Watched GENDRY voltou em GAME OF THRONES!,2017-08-17 03:44:09.681
Zelune,Watched COMO SERIA SE O YOUTUBE FOSSE BOM - Redublando,2017-08-17 03:42:36.769
adsense,Watched https://www.youtube.com/watch?v=rznIVUzIEeQ,2017-08-17 03:30:41.305
mikannn,Watched SEGREDOS DA ABERTURA DE GAME OF THRONES | ENTREVISTA COM ROB FENG,2017-08-17 02:25:29.304
adsense,Watched https://www.youtube.com/watch?v=bA8_fYerJLM,2017-08-17 02:10:03.742
Cid Cidoso,Watched O NOVO ESTAGIÁRIO DO NÃO SALVO #05,2017-08-17 01:54:05.469
doctelamidiacom,Watched QUEM MATOU ELOÁ? (WHO KILLED ELOÁ?),2017-08-17 01:52:57.956
Lucio Big,"Watched NA#131 - PIB em alta, o bote furado e a devolução de mais dinheiro ao erário",2017-08-14 02:37:27.842
Desimpedidos,Watched NA CARA DO GOL COM FAGNER,2017-08-14 02:36:50.157
TV Quase,Watched FALHA DE COBERTURA #127: Libertadores (com Arnaldo Branco),2017-08-13 18:01:51.591
adsense,Watched https://www.youtube.com/watch?v=UUBQAEr96uc,2017-08-13 17:58:38.921
adsense,Watched a video that has been removed,2017-08-13 17:58:02.480
JP Velasco,Watched Mariah Carey - My All Live #1 to infinity 7-08-17,2017-08-13 14:43:36.562
adsense,Watched https://www.youtube.com/watch?v=1HnpM6oWY3U,2017-08-13 14:14:53.728
adsense,Watched https://www.youtube.com/watch?v=arC1jIOO_bE,2017-08-13 14:14:13.990
Rafaellk07,Watched Driveclub multiplayer! Correndo em velocidade! (PS4 PRO),2017-08-13 00:01:16.978
Zangado,Watched Driveclub : Vale ou não a pena jogar,2017-08-12 23:48:53.542
SOB. CONTROLE.,"Watched DRIVECLUB (PS4) - Gameplay sobre jogabilidade, visual e modos de jogo.",2017-08-12 23:33:34.378
adsense,Watched https://www.youtube.com/watch?v=8yLv4TSFDKo,2017-08-12 21:16:05.537
Zangado,Watched The Witcher 3 - Wild Hunt : A Primeira Hora,2017-08-12 21:14:34.678
NOVIDADES KZUZAS,Watched ONDE COMPRAR JOGOS BARATOS OU ATÉ TROCAR! APRENDA!!!,2017-08-12 18:48:53.642
adsense,Watched https://www.youtube.com/watch?v=tueyhxHBUPk,2017-08-12 18:41:50.500
Minutos Psíquicos,Watched O QUE SÃO HABILIDADES SOCIAIS?,2017-08-12 15:17:28.480
Porta dos Fundos,Watched STORIES,2017-08-12 15:17:25.064
FitnessFAQs,Watched Touch Your Toes (Flexibility Hack),2017-08-12 15:01:17.722
Café Filosófico CPFL,Watched Como devemos nos relacionar com alguém que nos incomoda?,2017-08-12 15:00:35.319
Acabou de Acabar,Watched VALERIAN E A CIDADE DOS MIL PLANETAS (2017) | #Crítica | SEM SPOILER 😉,2017-08-12 15:00:08.953
FaixaMobi,Watched Funções do Instagram Stories que nem todo mundo conhece,2017-08-12 15:00:02.127
KingKrazey,Watched Root Samsung Galaxy Tab 4 SM-T230 7.0,2017-08-12 14:57:43.000
Marcílio de Oliveira,Watched Rootear o Samsung galaxy Tab 4 SM 230NT 7 pol Usando o Towelroot. Leiam a Descrição!,2017-08-12 14:53:05.775
Every Frame a Painting,Watched Edgar Wright - How to Do Visual Comedy,2017-08-12 02:20:53.833
mikannn,Watched BRAN E O CORVO DE TRÊS OLHOS | GAME OF THRONES,2017-08-11 22:21:26.382
TecMundo,Watched Novidades chegando ao WhatsApp - Hoje no TecMundo,2017-08-11 22:14:41.770
Desimpedidos,Watched TOP 10 MAIORES COBRADORES DE FALTAS DA HISTÓRIA,2017-08-11 21:49:17.816
adsense,Watched https://www.youtube.com/watch?v=afIw-zHsA2o,2017-08-11 21:48:09.829
Rob Landes,Watched Can You Hear the Difference Between a Cheap and Expensive Violin?,2017-08-11 21:45:27.638
adsense,Watched https://www.youtube.com/watch?v=S1J6935IehI,2017-08-11 21:42:25.433
Lucio Big,Watched NA#130 - O superidiota e o comprador de votos,2017-08-11 03:54:13.913
Guaxinim dozoi vermelho,Watched Aquele cover que você respeita (NARUTO FUNK - Sadness and Sorrow),2017-08-11 03:39:35.160
adsense,Watched https://www.youtube.com/watch?v=D-QtfEp67zw,2017-08-11 03:38:19.504
São Paulo FC,Watched BOLETIM DE TREINO + SHAYLON: 09.08 | SPFCTV,2017-08-10 11:16:18.727
Acabou de Acabar,Watched 6 Filmes Românticos IMPERDÍVEIS! | FT. DORA FIGUEIREDO,2017-08-10 10:52:25.874
Rolê Gourmet,Watched Bruschetta da Achiropita,2017-08-10 01:36:46.230
Desimpedidos,Watched TOP 10 MAIORES COBRADORES DE FALTAS DA HISTÓRIA,2017-08-10 01:36:09.905
Vagazoide,Watched VagaNights 2#: ENTREVISTA COM LUCAS INUTILISMO,2017-08-10 01:23:26.369
WebTVBrasileira,Watched 🔵🔥TRETA! CASTANHARI detona os IRMÃOS NETO que RESPONDEM no TWITTER,2017-08-10 01:21:21.010
Canal IN,Watched A NOVA CASA DOS IRMÃOS NETO,2017-08-10 01:21:07.835
TV Quase,Watched FALHA DE COBERTURA #126: Pior Sport,2017-08-08 03:30:21.443
Aline Santoro,Watched AT 3,2017-08-08 02:37:51.815
adsense,Watched a video that has been removed,2017-08-07 09:26:09.296
Fala Bandana,Watched Brasileiro 2017 - Bahia 2 X 1 São Paulo,2017-08-07 09:17:00.467
BRKsEDU,"Watched FOR HONOR - Gameplay do Início da Campanha, em Português! (1080p 60fps)",2017-08-06 13:31:51.282
Universo Paralelo,"Watched For Honor - EU VENCI UM 3x1, INACREDITÁVEL!! (Gameplay em PT-BR)",2017-08-06 13:12:16.315
Patife,"Watched BATTLEGROUNDS MODO ZUMBIS! Ft  Silvio Santos do CS, Castanhari, Stereo, Caue Moura, Drezzy, Pedro, T",2017-08-06 12:34:21.600
adsense,Watched a video that has been removed,2017-08-06 12:31:23.304
adsense,Watched https://www.youtube.com/watch?v=YWeBunPiIzo,2017-08-06 03:23:53.194
TecMundo,Watched Melhores Apps da Semana para Android e iOS (04/08/2017) - TecMundo,2017-08-06 02:56:48.618
Guillermo Eleazar Vera Lopez,Watched Chicas Cervezas y Cultura en Praga | Czech Girls and nightlife | Culture | Tourism,2017-08-06 02:55:43.213
VioVlog 2016,Watched 10 Cosas que me sorprendieron en Chequia | Español en Praga,2017-08-06 02:55:13.701
Cris e Panda,Watched É ASSIM QUE OS PERSONAGENS DE GAME OF THRONES DEVERIAM SER | COXINHA NERD,2017-08-06 02:49:02.955
CRITICALANDIA,Watched 10 CURIOSIDADES SOBRE REPÚBLICA CHECA,2017-08-06 02:48:39.756
Maria Andrade,Watched Sbt Realidade Republica Tcheca 2,2017-08-06 02:48:31.080
adsense,Watched a video that has been removed,2017-08-06 02:48:06.987
CzyWieszJak,"Watched Nauka kształtów dla dzieci - zjeżdżalnia, plac zabaw | CzyWieszJak",2017-08-06 02:47:14.476
CzyWieszJak,Watched Alfabet dla dzieci - Pociąg 3D | CzyWieszJak,2017-08-06 02:46:51.350
Gugu DadaTV,Watched GUGUDADA - O Alfabeto Fonético | A Música da Letra A (animação infantil),2017-08-06 02:46:28.573
Gugu DadaTV,Watched GUGUDADA - O Alfabeto Fonético | A Música da Letra I (animação infantil),2017-08-06 02:46:06.667
Gugu DadaTV,Watched GUGUDADA - O Alfabeto Fonético | A Música da Letra G (animação infantil),2017-08-06 02:45:52.383
Gugu DadaTV,Watched GUGUDADA - O Alfabeto Fonético | A Música da Letra F (animação infantil),2017-08-06 02:45:18.666
OLaranjinha,Watched Unboxing Pebble Time ! O que ele faz? Onde comprar ??,2017-08-06 02:30:26.316
Be!Tech,Watched SMARTWATCH BARATO e completo por MENOS de R$350! Xiaomi AMAZFIT PACE! Unboxing!,2017-08-06 02:14:07.683
Loop Infinito,Watched TECLADOS E MOUSES DA MICROSOFT?,2017-08-06 02:03:54.293
EuTestei,Watched PowerCube Remote: o adaptador de tomadas com controle remoto - Resenha EuTestei,2017-08-06 02:02:34.633
Cadê a chave?,Watched O MAIOR YAKULT QUE VOCÊ RESPEITA! - Ep.1032,2017-08-06 01:42:30.830
Desimpedidos,Watched BONDE DO HEXA CHEGOU AO PSG - DESINFORMADOS #187,2017-08-05 17:51:42.025
HBO Brasil,Watched GREG NEWS com Gregório Duvivier | ABORTO,2017-08-05 17:51:12.239
Porta dos Fundos,Watched MALA DO JOESLEY,2017-08-05 17:48:18.092
Manual do Mundo,Watched Faça o SPINNER que cria animações! (MUITO legal!),2017-08-05 17:40:04.698
5 Alguma Coisa,Watched 5 MANEIRAS DE XINGAR EDUCADAMENTE,2017-08-05 17:39:56.464
5 Alguma Coisa,Watched 5 PIORES LUGARES PARA CAIR NO GEMIDÃO DO WHATSAPP,2017-08-05 17:37:54.002
Hearthstone Brasil,Watched Lich Rei na Blizzard - 2ª Parte,2017-08-05 17:35:50.120
Chatuba Nation,Watched Foster The People - Pumped Up Kicks ft. Chatuba de Mesquita (GIGAMESH REMIX),2017-08-05 17:04:47.488
Phelipe Music [PGDM Vevo],Watched Pumped Up Chatuba - Silvio Santos do CS Feat Cebola & Chatuba de Mesquita #15,2017-08-05 17:03:16.767
Phelipe Music [PGDM Vevo],Watched Come as you Cebola (Forró Version) - Silvio Santos do CS Feat. Nirvana (Official Audio),2017-08-05 17:02:10.241
Movies & Soundtracks,Watched Pan Smells Like Teen Spirit,2017-08-05 17:01:39.022
Miguel Faria,Watched Nirvana - Smells Like Teen Spirit - Versão Samba,2017-08-05 17:00:05.616
Medinareal,Watched Smells Like a forró Spirit,2017-08-05 16:58:58.668
adsense,Watched https://www.youtube.com/watch?v=gcug2SxeBHg,2017-08-05 16:57:29.482
Funk Wins,Watched Bonde do Nirvana - Smells Like a Teen Novinha (remake),2017-08-05 16:56:45.759
Game of Thrones TV BR,Watched Coldplay e elenco de “Game of Thrones” criam musical para Red Nose Day,2017-08-05 15:03:26.825
AntiCast,Watched O Caso Evandro [Trailer 4ª Temporada do Projeto Humanos],2017-08-05 15:02:08.558
Fala Bandana,Watched Brasileiro 2017 - São Paulo 1 X 2 Coritiba,2017-08-05 14:27:26.470
São Paulo FC,Watched BOLETIM DE TREINO + CUEVA: 04.08 | SPFCTV,2017-08-05 14:18:15.088
AOM,Watched Shake It Bololo ft. Classics of MPB,2017-08-04 17:16:03.114
Mateuzocwb,Watched Cleiton Rasta fazendo a galera debochar legal,2017-08-04 17:14:10.936
AntiCast,Watched O Caso Evandro [Trailer 4ª Temporada do Projeto Humanos],2017-08-04 09:27:19.711
EntrePlanos,Watched O Que São Rimas Visuais?,2017-08-04 01:56:10.816
adsense,Watched https://www.youtube.com/watch?v=Ges84p_DZ_o,2017-08-04 01:35:50.580
Meu-Smartphone,Watched OLHA A MERDA QUE ACONTECEU COM MEU XIAOMI MI MIX,2017-08-04 01:35:48.146
Panelaço,Watched Quinoto Oriental com com Jean Dolabella e chef Patricia| Panelaço do João Gordo,2017-08-03 21:24:28.924
Coisa de Nerd,Watched A SOBERBA PRECEDE A QUEDA! - Jogos da Galera (Parte 77),2017-08-03 21:16:39.319
adsense,Watched a video that has been removed,2017-08-03 21:06:24.019
Marcelo D2,Watched Marcelo D2 & SambaDrive - Eu Tenho o Poder,2017-08-03 21:03:52.722
adsense,Watched https://www.youtube.com/watch?v=i4RnCGEwHgg,2017-08-03 20:52:33.610
BRAZA,Watched BRAZA - Making Of - Tijolo Por Tijolo,2017-08-02 23:15:15.289
JohnnynSPFC,Watched Hino Spfc mix,2017-08-02 23:14:04.265
Pipocando,Watched 6 STOP MOTIONS que você PRECISA VER! 🎥 😱,2017-08-02 01:58:31.669
Tito Melo,Watched Preocupado com o Neymar | Eventos Aleatórios Ep.49,2017-08-02 01:52:01.275
Acabou de Acabar,Watched Inteligência Artificial: Vilã ou Aliada? | Primeiro Plano,2017-08-02 01:45:17.569
Gameplayrj,Watched FOR HONOR - O INÍCIO,2017-08-02 00:59:38.437
JohnnynSPFC,Watched Hino Spfc mix,2017-08-02 00:45:56.588
Aline Santoro,Watched Sequence 01,2017-08-01 02:11:25.957
Afonso Padilha,Watched AFONSO PADILHA - O DIA QUE EU FIZ SEXO POR WHATTS  - STAND UP COMEDY,2017-07-31 23:29:16.684
TecMundo,Watched Visual do iPhone 8 pode ter sido confirmado - Hoje no TecMundo,2017-07-31 21:35:26.572
Rolê Gourmet,Watched Pão Chapado! ou apenas Flat Bread!,2017-07-31 21:27:06.511
DouggDroid,Watched Como instalar uma rom LINEAGE OS (Versão Resumida),2017-07-31 03:05:43.559
Major Lazer Official,Watched Major Lazer - Sua Cara (Feat. Anitta & Pabllo Vittar) (Official Music Video),2017-07-31 02:39:27.080
Pipocando,Watched BABY DRIVER: EM RITMO DE FUGA - DEPOIS DOS CRÉDITOS (crítica),2017-07-31 01:27:34.882
Canal do Pirulla,Watched Aquecimento Global: OCEANOS (#Pirula 32.7),2017-07-31 01:27:31.010
Desimpedidos,Watched GOL A GOL COM MARQUINHOS,2017-07-31 01:27:06.864
Afonso Padilha,Watched AFONSO PADILHA - O DIA QUE EU FIZ SEXO POR WHATTS  - STAND UP COMEDY,2017-07-31 00:18:14.335
BRKsEDU,"Watched FOR HONOR - Gameplay do Início da Campanha, em Português! (1080p 60fps)",2017-07-30 18:36:40.008
adsense,Watched https://www.youtube.com/watch?v=hlf2Q-mBdd0,2017-07-30 17:44:27.454
adsense,Watched https://www.youtube.com/watch?v=Uff8c0EdZZo,2017-07-30 14:51:10.860
adsense,Watched a video that has been removed,2017-07-30 14:37:06.518
Andrew Ryan,"Watched Across The Universe - John Lennon, Paul McCartney. The Beatles. (Let It Be) (Cover By Andrew Ryan)",2017-07-30 14:36:46.419
Lockyb24,Watched 26. Seether - Across the Universe (iTunes Originals Version),2017-07-30 14:22:30.511
adsense,Watched https://www.youtube.com/watch?v=PxucQe-3gMY,2017-07-30 14:20:35.605
RufusWainwrightVEVO,Watched Rufus Wainwright - Across The Universe,2017-07-30 14:15:10.743
São Paulo FC,Watched PÓS-VIRADA HISTÓRICA! | SPFCTV,2017-07-30 13:11:53.534
Trip TV,Watched Sorin: o argentino anárquico tá na área,2017-07-30 00:17:58.743
Rolê Gourmet,Watched Um Brinde #134 - Cadê os Fabiolos do Brasil?,2017-07-30 00:07:39.973
Programa do Porchat,Watched Programa do Porchat (completo) | João Vicente de Castro (27/07/2017),2017-07-29 18:30:36.194
Desimpedidos,Watched O REAL MIMIMI DAS AMÉRICAS - DESINFORMADOS #186,2017-07-29 18:08:36.200
DouggDroid,Watched Como instalar uma rom LINEAGE OS (Versão Resumida),2017-07-29 14:36:28.008
MuuhPro,Watched TESTEI O FIFA 18 !!! - O QUE EU ACHEI ?!,2017-07-29 14:20:39.832
adsense,Watched https://www.youtube.com/watch?v=yvyDNcxaKRU,2017-07-29 02:40:32.587
mikannn,Watched COMO MATAR SEU DRAGÃO | GAME OF THRONES,2017-07-29 01:04:15.398
Acabou de Acabar,Watched CARROS 3 (2017) | #Crítica | SEM SPOILER 😉,2017-07-28 21:35:43.614
TV Quase,Watched FALHA DE COBERTURA #89: Pior São Paulo,2017-07-28 21:28:44.761
TV Quase,Watched FALHA DE COBERTURA #101: Pior Santos,2017-07-28 21:28:37.409
Marcelo D2,Watched Marcelo D2 & SambaDrive - A Maldição do Samba,2017-07-28 21:26:32.265
Marcelo D2,Watched Marcelo D2 & SambaDrive - Samba de Primeira,2017-07-28 21:23:02.845
Acabou de Acabar,Watched DUNKIRK (2017) | #Crítica | SEM SPOILER 😉,2017-07-28 21:14:23.636
adsense,Watched https://www.youtube.com/watch?v=MB_ZB3DzsLs,2017-07-28 01:34:34.678
adsense,Watched a video that has been removed,2017-07-27 23:52:00.620
adsense,Watched https://www.youtube.com/watch?v=H-EKXmqDb0k,2017-07-27 23:51:28.934
São Paulo FC,Watched #MADEINCOTIA: O GOL QUE BRENNER FEZ - TAÇA BH: SPFC 3 X 0 FLUMINENSE | SPFCTV,2017-07-27 23:50:47.215
adsense,Watched https://www.youtube.com/watch?v=3GK4JNLPkUI,2017-07-27 23:48:51.593
