,Canal,Nome vídeo,Data
109,iFood,Watched iFood | A comida antes do iFood,2021-07-13 14:40:50.753
110,iFood,Watched iFood | Judite,2021-07-13 14:40:15.857
111,iFood,Watched iFood | Judite,2021-07-13 14:40:09.698
112,iFood,Watched iFood | Judite,2021-07-13 14:40:02.961
113,iFood,Watched iFood | Judite,2021-07-13 14:39:56.898
114,iFood,Watched iFood | Judite,2021-07-13 14:39:50.446
115,iFood,Watched iFood | Judite,2021-07-13 14:39:14.052
116,iFood,Watched iFood | Judite,2021-07-13 14:38:13.916
117,iFood,Watched iFood | Judite,2021-07-13 14:37:43.358
118,iFood,Watched iFood | Judite,2021-07-13 14:37:07.798
119,iFood,Watched iFood | Judite,2021-07-13 14:36:37.381
120,iFood,Watched iFood | Judite,2021-07-13 14:35:59.019
121,iFood,Watched iFood | Judite,2021-07-13 14:35:28.765
122,iFood,Watched iFood,2021-07-13 14:34:51.861
123,Invento na Hora,Watched DEU RUIM NA MINHA RECUPERAÇÃO - MUITA DOR E INCHAÇO,2021-07-13 11:31:19.674
124,iFood,Watched iFood,2021-07-13 02:43:42.672
125,iFood,Watched Como pagar seus foodies usando o vale-refeição,2021-07-13 02:43:27.552
126,iFood Universo,Watched iFood Universo | Nossa Cultura IMALOVER,2021-07-13 02:09:16.869
127,The Noite com Danilo Gentili,Watched Entrevista com Dra. Ana Beatriz Barbosa | The Noite (29/06/21),2021-07-12 21:39:22.581
128,Metrópoles,Watched Leo Dias entrevista Pamella Holanda,2021-07-12 20:55:02.948
129,Invento na Hora,Watched O DIA DA MINHA CIRURGIA NO NARIZ ( RINOPLASTIA ),2021-07-11 15:32:31.887
130,Programação Dinâmica,Watched Manipulando Dataframe do Pandas | Análise de dados #5,2021-07-11 04:35:18.414
131,Inova BI,Watched [Tableau] Histórias e Campo Calculado no Tableau,2021-07-11 04:21:48.300
132,Roberto Walter,Watched Aula 13 - Criando seu primeiro Dashboard! - Curso Tableau para Iniciantes (COM CERTIFICADO),2021-07-11 04:21:20.777
133,QSOFT ACADEMY,Watched Webinar Tableau Desktop: Utilize cores e elementos gráficos para criar dashboards de impacto,2021-07-11 04:18:55.137
134,QSOFT ACADEMY,Watched Média Móvel no Tableau - Tableau Drops #8,2021-07-11 04:12:22.180
135,Invento na Hora,Watched VOU FAZER RINOPLASTIA,2021-07-11 02:39:20.355
136,CFBCursos,Watched Expressões Regulares - RegEx Sub - Curso de Python #43,2021-07-10 18:49:50.935
137,Pitty,Watched Pitty - Matriz Ao Vivo na Bahia (DVD),2021-07-10 16:23:55.829
138,Pitty,Watched Pitty - SETEVIDAS (Videoclipe Oficial),2021-07-10 16:19:36.670
139,Pitty,Watched Pitty - Admirável Chip Novo,2021-07-10 16:15:58.976
140,Pitty,Watched Pitty - Memórias (Clipe Oficial),2021-07-10 16:11:59.617
141,Pitty,Watched Pitty - Teto de Vidro (Clipe Oficial),2021-07-10 16:08:02.935
142,Pitty,Watched Pitty - Me Adora (Clipe Oficial),2021-07-10 16:03:28.669
143,Pitty,Watched Pitty - Máscara (Clipe Oficial),2021-07-10 15:58:30.227
144,Pitty,Watched Pitty - Equalize (Clipe Oficial),2021-07-10 15:54:17.892
145,Pitty,Watched Pitty - Déja Vu (Clipe Oficial),2021-07-10 15:52:17.775
146,Pitty,Watched Pitty - Pulsos (Ao Vivo),2021-07-10 15:47:33.397
147,Somos Tribo Natural,Watched COMO FAZER BATATA FRITA NO FORNO | CROCANTE E SEM ÓLEO,2021-07-09 20:48:04.191
148,Invento na Hora,"Watched DEU TUDO ERRADO NESSE VÍDEO, LITERALMENTE TUDO!",2021-07-08 15:20:55.318
149,Invento na Hora,Watched CONVERSEI COM O NOAH POR VÍDEO CHAMADA!,2021-07-08 15:10:13.800
150,adsense,Watched Funny video 5251347224693286986 Upload via Kwai on 2021-06-27,2021-07-08 15:09:49.379
151,Metallica,Watched Metallica: Nothing Else Matters (Official Music Video),2021-07-07 01:22:35.903
152,Slipknot,Watched Slipknot - Psychosocial [OFFICIAL VIDEO],2021-07-07 01:20:20.147
153,DUCKWRTH - Topic,Watched I'M DEAD (feat. Sabrina Claudio),2021-07-07 01:19:53.488
154,not lyrical,Watched Nessa Barrett - I'm Dead (feat. jxdn) (Legendado//Tradução),2021-07-07 01:16:01.023
155,Asia,Watched deleted tiktok Quinton with Vinnie Hacker,2021-07-07 01:11:11.326
156,MARIAOficialVEVO,Watched MARIA - Perdão,2021-07-06 16:27:37.203
157,Stack,Watched Cientista de Dados vs Analista de Dados vs Engenheiro de Dados - Entenda as profissões.,2021-07-05 23:24:43.322
158,Roberto Walter,Watched Aula 1 - Introdução - Curso Tableau para Iniciantes (COM CERTIFICADO),2021-07-05 15:17:28.619
159,Klaudemir Santiago,"Watched Moda, Média e Mediana em um Histograma",2021-07-03 15:57:16.652
160,Paulo Lima Carvalho,Watched Estatística - Polígono de Frequência,2021-07-03 15:53:10.311
161,whinderssonnunes,Watched WHIND DANCE - CACHORRO CARAMELO (Lil Whind),2021-07-02 16:16:31.729
162,Tuy e Biel,Watched Essa crise é inevitável em qualquer relacionamento,2021-07-02 05:25:43.641
163,Invento na Hora,Watched NOSSA COZINHA QUASE EXPLODIU! É SÉRIO,2021-07-02 05:07:12.779
164,QSOFT ACADEMY,Watched Análises na dica de ferramenta - Tableau Drops #7,2021-07-02 04:28:48.405
165,RFB Sistemas,Watched O que é ETL?,2021-07-01 18:36:38.184
166,Claudio Bonel,"Watched Visão geral sobre ETL (Extrair, Transformar e Carregar), em projetos de Business Intelligence",2021-07-01 18:32:48.087
167,Gerson - Minhas Planilhas,Watched O que é ETL,2021-07-01 18:32:07.918
168,Invento na Hora,Watched CHEGOU NOSSOS QUADROS GIGANTES COM A FOTO DO NOAH,2021-07-01 15:17:47.452
169,Prof. MURAKAMI - MATEMÁTICA RAPIDOLA,Watched GRÁFICO BOXPLOT 🔵 DIAGRAMA DE CAIXA,2021-07-01 01:10:46.382
170,Einzelgänger,Watched How to Stop Taking Things So Personally,2021-06-30 19:19:42.596
171,Invento na Hora,Watched O NOAH SÓ DA RISADA PRA MÃE - EU TENTEI MAS NÃO FUNCIONA,2021-06-30 04:43:44.780
172,Invento na Hora,Watched NÃO AGUENTO MAIS ESSE BARULHO NA MINHA CABEÇA,2021-06-30 04:37:12.191
173,adsense,Watched HBO Max chega hoje ao Brasil | Saiba mais,2021-06-29 16:17:52.842
174,Ciência de Dados Prática,Watched Clusterização e K-means,2021-06-25 05:44:11.326
175,Universo Discreto,"Watched K-Means, K-means++ e Escolha do K (Prática em Python) - Machine Learning 21.2",2021-06-25 05:44:08.775
176,PineappleStormTV,"Watched Poesia Acústica #11 - Nada Mudou - L7NNON, CHRIS, Ryan SP, Lourena, Xamã, Azzy, Mc Poze, Cynthia Luz",2021-06-25 05:16:18.572
177,Universo Discreto,Watched Clusterização Hierárquica (Teoria) - Machine Learning 22.1,2021-06-25 04:44:45.222
178,Universo Discreto,Watched Clusterização Hierárquica em Python - Machine Learning 22.2,2021-06-25 04:42:43.819
179,Zurubabel,Watched Machine Learning (Aula 6) - Clusterização,2021-06-25 03:29:57.541
180,Canalytics,Watched Clusterização de dados no R - K means,2021-06-25 03:26:02.705
181,Canalytics,Watched O que é Clusterização de Dados?,2021-06-25 03:15:15.922
182,Discentes Bioinformática UFPR,Watched Clusterização (Introdução à Inteligência Artificial - parte 3),2021-06-25 02:46:03.783
183,Windows,Watched Introducing Windows 11,2021-06-24 22:21:09.318
184,A DICA DA VEZ,Watched Como criar e inserir assinatura eletrônica,2021-06-24 15:22:45.670
185,Certificado Digital Serasa Experian,Watched Passo a Passo para Assinar um Documento Digitalmente,2021-06-24 15:20:36.601
186,PineappleStormTV,"Watched Poesia Acústica #11 - Nada Mudou - L7NNON, CHRIS, Ryan SP, Lourena, Xamã, Azzy, Mc Poze, Cynthia Luz",2021-06-23 17:45:15.984
187,GRUPO QSTS,Watched EU A PATRÓA E AS CRIANÇAS,2021-06-23 03:37:54.655
188,GoConqr em Português,Watched Tutorial GoConqr -  Mapa Mental,2021-06-22 23:52:54.348
189,Band Jornalismo,Watched Coração com tecido humano é feito em impressora 3D,2021-06-22 18:25:03.805
190,PineappleStormTV,"Watched Poesia Acústica #11 - Nada Mudou - L7NNON, CHRIS, Ryan SP, Lourena, Xamã, Azzy, Mc Poze, Cynthia Luz",2021-06-22 15:05:47.118
191,"Éééé, Não","Watched Eu, a Patroa e as Crianças   4ª Temporada Completa Dublado HD",2021-06-22 05:59:57.258
192,Sunaika Bruna,Watched O NOAH MONTOU NUM CAVALO PELA 1ª VEZ,2021-06-22 05:22:34.341
193,Sunaika Bruna,Watched PRIMEIRA VIAGEM DO NOAH ❤️,2021-06-22 05:11:29.431
194,Portal SMS - Sérgio Bigi,Watched Acidentes Históricos 002 - Deepwater Horizon,2021-06-22 04:16:27.988
195,euronews (em português),Watched BP acusada de negligência em acidente na plataforma Deepwater Horizon,2021-06-22 04:16:20.318
196,Instante Biotec,Watched Fazer ou não fazer biotecnologia? | #InstanteBiotec 26,2021-06-22 03:50:29.417
197,TED,"Watched Ellen Jorgensen: Biohacking -- you can do it, too",2021-06-22 03:50:18.799
198,Profissão Biotec,Watched Biorremediação - 1 minuto com Ciência,2021-06-22 03:48:23.647
199,Canal Futura,Watched Jornal Futura 29/04/2014 - Microalgas para Alimentação,2021-06-22 03:46:39.309
200,Minutos Psíquicos,Watched Organismos geneticamente modificados (OGM),2021-06-22 03:46:30.889
201,institutoakatu,Watched De onde vem? Para onde vai? - petróleo,2021-06-22 02:34:35.960
202,adsense,Watched Começou o Amazon Prime Day 2021,2021-06-22 02:34:13.225
203,Canal MPF,Watched IP SERVIÇO: Entenda o que é a Amazônia Legal,2021-06-21 20:07:00.139
204,adsense,Watched https://www.youtube.com/watch?v=kwze7s5B71A,2021-06-20 20:28:55.372
